Name,SubSet,Num,ConvHull,TotSurf,ADBD,AvDiameter,TotContour,ADfC,TS/CH
1,4,12,33886,6960,37,26,978,73,0.20539
2,4,20,41741,10067,25,23,1454,73,0.24118
3,4,27,49603,15846,17,26,2177,69,0.31946
4,4,36,54805,20198,13,25,2806,72,0.36854
5,4,18,43170,8610,28,23,1293,70,0.19944
6,4,40,54159,17646,13,22,2756,75,0.32582
7,4,28,51188,16018,16,25,2242,73,0.31292
8,4,10,28421,3727,41,19,595,71,0.13114
9,4,20,38397,10822,14,25,1540,69,0.28184
10,4,15,36826,3896,31,16,776,81,0.10579
11,4,24,50178,14000,21,26,1941,81,0.27901
12,4,40,53307,18332,15,22,2786,77,0.34389
13,4,25,50286,10484,25,21,1644,71,0.20849
14,4,18,39770,7365,33,21,1165,69,0.18519
15,4,35,49932,15736,17,22,2452,77,0.31515
16,4,24,42451,10191,24,21,1598,70,0.24007
17,4,30,48670,14158,20,23,2157,75,0.2909
18,4,36,49164,14462,17,21,2339,79,0.29416
19,4,12,41592,7424,34,26,992,77,0.1785
20,4,21,47038,9806,26,22,1463,73,0.20847
21,4,24,42450,11508,19,23,1711,72,0.2711
22,4,35,56530,21052,14,26,2837,80,0.3724
23,4,42,52735,19080,15,22,2865,76,0.36181
24,4,28,49023,11542,20,21,1848,82,0.23544
25,4,14,38623,6593,29,23,1003,72,0.1707
26,4,24,48525,13569,21,25,1864,72,0.27963
27,4,28,52266,11700,22,21,1850,75,0.22385
28,4,40,52973,19698,14,23,2925,77,0.37185
29,4,48,56491,19971,13,21,3153,74,0.35353
30,4,35,50884,14971,17,22,2374,75,0.29422
31,4,16,40984,6179,31,21,1034,79,0.15077
32,4,15,40443,5997,40,21,976,80,0.14828
33,4,36,51667,18524,12,24,2683,77,0.35853
34,4,27,43816,10590,21,20,1724,70,0.24169
35,4,24,37733,9363,18,20,1515,68,0.24814
36,4,30,52712,18643,17,26,2481,76,0.35368
37,4,35,52168,17544,17,23,2561,74,0.3363
38,4,8,34193,3430,57,22,550,69,0.10031
39,4,25,47818,13077,20,24,1876,76,0.27347
40,4,12,31431,6538,39,24,917,64,0.20801
41,4,30,48353,13881,17,22,2068,73,0.28708
42,4,32,46792,14900,13,23,2264,68,0.31843
43,4,30,49233,14649,17,23,2194,77,0.29754
44,4,15,35325,5415,28,19,919,72,0.15329
45,4,42,51238,16835,15,20,2631,75,0.32856
46,4,20,47391,12279,22,26,1650,74,0.2591
47,4,36,51406,17457,16,23,2585,72,0.33959
48,4,30,52416,15759,21,24,2255,77,0.30065
49,4,14,43101,5528,36,20,867,84,0.12826
50,4,18,37289,9683,27,24,1368,69,0.25967
51,4,28,49851,12095,17,22,1906,81,0.24262
52,4,30,51287,15182,19,24,2229,78,0.29602
53,4,36,53238,22090,14,26,2919,76,0.41493
54,4,24,50299,16073,17,28,2136,76,0.31955
55,4,16,39290,9095,30,25,1274,77,0.23148
56,4,21,45786,10107,25,23,1513,76,0.22074
57,4,32,52504,16655,15,24,2412,77,0.31721
58,4,35,49910,16512,17,22,2455,81,0.33084
59,4,42,54793,22741,14,24,3165,79,0.41503
60,4,40,52594,14161,17,20,2451,80,0.26925
